word,explanation,example_sentence
tenderness,"柔らかさ;か弱さ / 感じやすさ,敏感 / 《時に a ~》優しさ,親切,慈愛",The tenderness of the fabric made it comfortable to wear.
terrace,"バルコニー / 『テラス』,頂台 / 台地,(特にひな壇式の)段地 / 台地(傾斜地)にある家並み,高台の町 / (東洋・スペインなどの)平屋根",I love sitting on the terrace and enjoying the view.
terrifying,恐ろしい,The horror movie was terrifying.
territory,"〈C〉〈U〉(広い)地域,地方  / 〈C〉〈U〉(領海を含む)領土,領地  / 〈C〉〈U〉(セールスマン・代理店などの)受け持ち区域,担当区域;縄張り  / 〈C〉〈U〉(学問などの)領域,分野  / 〈C〉《T-》(アメリカ・カナダなどの)準州",The country expanded its territory through colonization.
test,"〈他〉を試験する, を検査する / を科学分析する / 〈自〉《...の》試験を受ける, 試験をする《for ...》",The new drug will be tested in Vaxgen's laboratory.
testify,"(法廷で) 証言する / 《...を》 保証する, 立証する 《to ...》 / 《...の》 証拠となる 《to ...》 / 《~ that ...》 ...であると証言する",He will testify in court tomorrow.
testimony,"〈C〉〈U〉(法廷の証人台での) 証言 /〈U〉《...の》 証拠, しるし 《of ...》 / (信仰などの)公然とした表明",Her testimony was crucial in solving the case.
that,"それほど,それだけ, そんなに([[so]])",I didn't realize that it was that important.
theme,"主題,論題,題[目],テーマ  / (児童・生徒の)作文  / (曲の)主題,主旋律(一曲の中にさまざまに形を変えて繰り返し出てくる旋律)",The theme of the party is 'Hawaiian Luau'.
theorist,"理論家,理論(学説)を立てる人",The theorist proposed a new framework for understanding human behavior.
therapist,治療専門家,The therapist helped me work through my anxiety.
therapy,療法,She is undergoing therapy to help manage her anxiety.
thereafter,その後(after that),"He finished his work, and thereafter he went home."
thermometer,"『温度計』,寒暖計",I need to check the temperature with a thermometer.
thesis,"〈C〉(論証のための)陳述,主張 / (卒業・学位の)論文",I am currently working on my thesis for my master's degree.
thickly,"厚く,太く,密に,濃く",Spread the peanut butter thickly on the bread.
thickness,"〈U〉〈C〉厚さ,太さ,濃さ,密集,繁茂  / 〈C〉層,重ね(layer)",The thickness of the paper is important for printing.
thigh,"『もも』,大腿(だいたい)部",She injured her thigh while playing soccer.
thinker,"考える人;思想家,思索家",She is a great thinker.
third person,"《the ~》(文法で)第三人称(he,she,they,a dog,these houses など)",He wrote that novel in third person.
thirdly,第三に,"Thirdly, if you don't put in the effort and challenge difficult things, there is nothing in the world at which you will succeed."
thirst,"〈U〉〈C〉のどの渇き / 《a ~》《…に対する》渇望, 熱望《for ...》",I quenched my thirst with a cold glass of water.
thoroughly,"徹底的に,完ぺきに,全く",She thoroughly cleaned the house before the guests arrived.
though,"～だけれども,～だけど,そうは言うものの(however),でも,しかし,しかしながら,だけども,やっぱり","It's a bit cold, though."
thoughtful,"思いやりのある, 配慮の行き届いた,親切な / 考え込んでいる, 物思いにふけった / 《補語にのみ用いて》《be ~ of ...》《…に対して》考え深い, 注意深い",She is a thoughtful person who always considers others' feelings.
thoughtless,"思いやりのない,不親切な;(…に)思いやりのない《+of+名》 / 不注意な,考えの浅い",He made a thoughtless comment that hurt her feelings.
thread,"糸 / 筋, 脈絡 /",I need to buy some thread to sew this button back on.
threaten,を脅す / を言って脅す / をおびやかす / の前兆となる,He threatened to expose her secret.
thrill,〈C〉ゾクゾクする感じ / ゾクゾクさせるもの,The roller coaster ride was full of thrill and excitement.
thrilled,興奮(ワクワク・感動・感激)した,The recipient of the award was thrilled.
thrilling,"ぞくぞく(わくわく)させるような,血わき肉おどる",The thrilling roller coaster ride made my heart race.
throat,"〈C〉(気管・食道部分としての) のど / のど状の物, (容器などの)首",I have a sore throat.
tickle,"〈人・身体の一部など〉‘を'『くすぐる』,むずむずさせる / 〈人の心・気持ち〉‘を'くすぐる,くすぐってうれしがらせる(楽しませる) / くすぐったい,むずむずする / くすぐったい(むずがゆい)感じ",I couldn't stop laughing when my friend tickled me.
tight,"《話》堅く,しっかりと / (締め方が)きつく,きっちりと / (睡眠などが)ぐっすりと",Hold the racket tight.
tightrope,(綱渡りの)綱,She walked on the tightrope with perfect balance.
time,"…の時間を定める / 《…に》…の調子を合わせる, ...のタイミングを合わせる《to ...》 / …の時間を計る",I need to time myself while running.
timeless,"無限の,永久の / 特定の時間を示さない,時を超越した",Her beauty is timeless.
timeliness,時宜にかなっていること,The timeliness of his arrival was impressive.
times,…掛ける,"Even times odd is even, odd times odd is odd."
timing,時間の調節;時間を測定[記録]すること,I need to adjust the timing of my schedule.
tip,"…を傾ける / …をひっくり返す《over, up》 / (あいさつのために)〈帽子〉を持ち上げる,にさわる / 《英》(容器から…に)…をあける([[empty]])《... out of ... into ...》 / 傾く / ひっくり返る《over》",She tipped her head to the side.
tiptoe,"(用心して,こっそりと)つま先で歩く","She tiptoed into the room, trying not to wake anyone."
tiredness,疲労 / けん怠,I feel exhausted after a long day at work.
tiresome,"『飽き飽きかせる』,うんざりさせる(tedious) / やっかいな,うるさい",The repetitive tasks at work can be tiresome.
toenail,足指のつめ / 斜めに打ち込んだくぎ,I need to trim my toenail.
toil,"『骨折って(精を出して)働く』,(…を)精を出してする《+at+名(doing)》 / 骨折って進む《+along(on,over,through,up)+名》",She toils day and night to provide for her family.
tolerant,"寛大な,寛容な;(…に)寛大な《+of(to)+名》 / (薬品・毒物などの作用に)耐性がある,抵抗力のある",She is a tolerant person who accepts people from all walks of life.
tolerate,"〈他〉に寛大な態度をとる / を黙認する / をがまんする,を耐える / （薬品・毒物など）に耐性がある",I can't tolerate his rude behavior.
toll,"〈C〉(橋・道路などの)使用料金, 通行料金 / (長距離電話などの) 料金, サービス料 / 《通例単数形で》(災難などの)被害の程度, 犠牲者数",The toll for using the highway was surprisingly high.
tomb,『墓』(grave);(一般に)埋葬場所,She visited her father's tomb on his birthday.
ton,"(重量単位の)トン  / (容積単位の)トン(物によって異なり,木材では40立方フィート,小麦では20立方フィート)  / 《話》大量(の…),多数(の…)《+of+名》",The cargo ship can carry up to 10 tons of goods.
tonne,"《重さ》メートルトン,トン(1,000キログラムに相当する重さの単位)",The shipment weighed 10 tonnes.
torch,"『たいまつ』 / 《米》(はんだ付けなどに用いる)トーチランプ(《英》blowlamp)・《英》=flashlight・《比喩的に》(…の)火,光,光明《+of+名》・「carry a torch for誰々」または「carry the torch for 誰々」で「誰々に片思いする」",I used a torch to light up the dark room.
tortoiseshell,〈U〉べっ甲 / 〈C〉ヒオドシチョウ(タテハチョウの類の一つ) / 〈C〉三毛ネコ,She refastened her hair with a comb made of tortoiseshell.
torture,拷問,Torture is a violation of human rights.
tough,"(物が)丈夫な / (肉などが) 堅い / (体が) 屈強な / 骨の切れる,やっかいな",He is a tough competitor.
toxic,"毒性の, 有毒な / 毒による",Exposure to toxic chemicals can have serious health effects.
trace,"〈他〉...の跡をつける,を追跡する / (複写紙などを使って)…を書き写す / 〈線・図形〉を描く《out》 /  〈自〉《…に》さかのぼる《back to ...》",The dog traced the rabbit into the forest.
track,"…‘の'跡をつける,〈足跡〉‘を'たどる;〈動物〉‘の'臭跡を追う  / 〈記録計の針が〉…の進路(軌道)を観察記録する;〈カメラが〉〈被写体〉‘を'追いかけて写す  / 〈泥・雨など〉‘の'跡を付ける;〈床など〉‘に'足跡を付ける《+up+名,+名+up》",The huntsman tracked the deer through the forest.
trade,交換する,Once people traded furs for sugar here.
trader,"商人,貿易業者",The trader traveled to different countries to buy and sell goods.
trail,〈他〉の後について行く / を追跡する / を引きずる / 〈自〉引きずる,The hunters trailed the deer over the mountain.
trailer,"トレーラー(トラクター・トラックに引かれる大きな輸送車) / 《米》(自動車・トラックに引かれる)移動家屋(《英》caravan) / 後に続く人(もの) / つる草 / (映画の)予告編 / トレーラーで旅行する,トレーラーの中で生活する",I saw a trailer on the highway.
trainee,"訓練(特に職業訓練)を受けている人,徒弟,見習い  / 《米》(軍事教練を受ける)新兵",The trainee is learning new skills at the company.
trainer,"訓練する人,仕込む人,(運動選手の)トレーナー,調教師",The trainer helped me improve my fitness level.
trait,"〈C〉《かたく》 (性格・身体上の) 特徴, 特性, 性質",Her kindness is a trait that everyone admires.
traitor,"(国・主義・信用などに対する)『裏切り者』,反逆者,むほん人《+to+名》",He was accused of being a traitor to his country.
tramp,"《様態・場所などを表す副詞[句]を伴って》『ドシンドシンと歩く』 / (…を)踏みつける,踏みつぶす《+on(upon)+名》 / 《場所を表す副詞[句]を伴って》足を踏みしめて歩く / 《副詞[句]を伴って》…‘を'踏みつける / …‘を'踏みしめて歩く",He tramped through the forest.
trample,"踏みつけること,踏みつける音",The trample of horses' hooves echoed in the distance.
transcript,"写し,コピー,写本,謄本;《おもに米》[学業]成績証明書",I need a transcript of my grades.
transfer,"〈U〉〈C〉(…を)移すこと,(…が)移転されること《+of+名》;転任,転校  / 〈C〉移る人(物),移される人(物);転校生,転任者",The company rejected his request for a transfer.
transfusion,輸血,I had a transfusion of blood after my accident.
transient,"(また [[transitory]])一時の,つかの間の,はかない / (人が)短期滞在の / (ホテルなどの)短期滞在客",The beauty of life lies in its transient nature.
transistor,トランジスター(真空管の代りをする半導体使用の増副装置) / トランジスターラジオ,The transistor revolutionized the field of electronics.
transition,"〈U/C〉《...から...への》移行, 変遷《from ... to ...》 / 《...から...への》過渡期《from ... to ...》",The transition from summer to autumn is always beautiful.
transitive,"(動詞が)目的語をとる,他動の","With verbs there are intransitive verbs that don't take an object, and transitive verbs that do take an object."
translation,"〈U〉訳すこと,翻訳  / 〈C〉翻訳されたもの",Translation is the process of converting text from one language to another.
translator,"(特に専門の)翻訳者,翻訳家",The translator did an excellent job translating the document.
transmission,"〈U〉《...を》伝えること, 《...が》伝えられること, 伝達, 伝送《of ...》 / 〈C〉(ラジオ・テレビなどで)送られたもの / (車の)変速装置",The transmission of information through the internet is fast and efficient.
transmit,"伝わる / を送る, を伝える",The radio waves transmit information from one device to another.
transparent,"透明な,透き通った,光を通す  / 透けるほど薄い  / (言い訳などが)見え透いた  / 率直な,正直な,あけひろげの","The glass is transparent, allowing light to pass through."
transport,〈他〉を輸送する,Oil is transported by tanker.
traverse,"…‘を'『横切る』,横断する,渡る,越える / …‘を'あちこち動く,行ったり来たりする / あちこち動く;(山などを)ジグザグに登る / 横切る,旋回する / 横切ること,横断 / トラバース(登山での斜面横断) / 横木,横ばり / ざんごう内での方向転換",I had to traverse the entire forest to reach the other side.
tray,"浅いへりのついた平たい容器,(料理などを運んだり盛ったりするための)盆,皿  / (机上書類用の)整理箱  / (また tearful)盆(皿)一杯[の量]",She placed the tea cups on the tray.
tread,"〈他〉…を踏んで通る / …を踏みつける / 〈自〉歩く, 行く / 《…を》踏む, 踏みつける《on ...》 /",Be careful not to tread on the wet floor.
treat,"〈他〉(人など) を扱う / 《...と》 ...を見なす 《as ...》 / (問題など)を扱う, を論じる / (病人・病気など)を治療する / 〈自〉扱う / おごる",I like to treat myself to a spa day every once in a while.
treaty,条約 / 協定 / 条定 / 和約,The two countries signed a treaty to promote trade and cooperation.
trek,長くつらい旅,I embarked on a challenging trek through the mountains.
tremendously,"途方もなく / 恐ろしく / とても,非常に",She has improved tremendously since she started practicing every day.
tremor,"(地面などの)震動,揺れ / (恐怖・興奮などによる体・手足の)震う,身震い",I felt a tremor in the ground.
trial,"〈U/C〉裁判, 審理 / 《...の》試験, 試し《of ...》 / 〈C〉試み / 試練 / 困りもの, 厄介なもの",The trial lasted for several weeks.
triangle,"三角形  / 三角形の物  / 《米》三角定規  / (楽器の)トライアングル  / 三つ組,三人組;(男女の)三角関係",The triangle has three sides.
tribe,"《集合的に》《単数・複数扱い》部族  / 《しばしば軽べつして》(…の)仲間,集団,連中《+of+名》  / (動植物の)族(family(科)と genus(属)の間の分類単位)",The tribe gathered around the fire to celebrate their victory.
trick,〈他〉〈人〉を騙す,George was tricked into buying the land.
tricky,"(人が)こうかつな,ずるい / (物事・仕事などが)手の込んだ, 慎重を要する, 扱いにくい",Dealing with tricky situations requires careful consideration.
trio,"三ツ組,3人組 / 三重唱[曲,団],三重奏[曲,団]",The trio performed a beautiful song together.
trip,〈自〉つまづく / 〈他〉つまずかせる,She tripped on the stone.
trivial,"ささいな, 取るに足らない / 平凡な, ありふれた",The problem was trivial and didn't require much effort to solve.
trolley,"(2輪または4輪の)手押し車 / (軌道上を手押しする)トロッコ / 触輪(電車のポールの先端にあり,架線に接する) / 《米》=trolley car / 《英》(食事などを運ぶ)手押し車,ワゴン",I used a trolley to transport the heavy boxes.
troop,〈C〉《移動中の人・野生の動物の》群れ《of ...》 / 《複数形で》軍隊,The troop marched in formation.
trophy,"(狩猟・戦争などで得た)『戦利品』,記念品 / (競技の)トロフィー;優勝記念品;優勝旗(杯・たて)",He proudly displayed his trophy collection in his living room.
tropic,熱帯[地方]の(tropical),The tropic climate is perfect for growing tropical fruits.
troublesome,"『迷惑な』・人を悩ませる / 『やっかいな』,骨の折れる",Dealing with difficult customers can be troublesome.
trunk,"〈C〉(樹木の)幹 / (人・動物の)胴体 / トランク,旅行用箱型の大型かばん) / 象の鼻 / 《複数形で》(文泳などスポーツ競技用の)男子用パンツ / 《米》(自動車後部の)荷物入れ,トランク",The elephant uses its trunk to pick up food.
trust,"〈U〉《...に対する》信頼, 信用 《in ...》 / 期待",Society is built on trust.
trusty,"(人が)信頼できる,頼りになる",He is my trusty companion.
truthful,"(人が)真実をいう,誠実な / (記述・説明などが)真実の,正確な(accurate)",He always speaks the truth.
truthfulness,正直 / 誠実,We should always verify information and question the truthfulness of common beliefs.
tub,"『おけ』,たらい / 《話》'bath 2 / (また tubful)おけ1杯[の量](の…)《+of+名》 / 《話》のろくてぶかっこうな船;《俗》でぶ,太っちょ",I filled the tub with hot water and relaxed.
tuberculosis,"結核({略}TB,T.B.) / 肺結核",He was diagnosed with tuberculosis and had to undergo treatment.
tug,"(…を)『ぐいと引く』,強く引っ張る / 《副詞[句]を伴って》…‘を'引きずって行く / 〈船〉‘を'引き船で引く / (…を)『ぐいと引く』,ぐっと引っ張る《+at+名》 / ぐいと引くこと / =tugboat",He tugged at the rope to pull it closer.
tuition,"〈U〉(大学・私立学校などの)授業料 / 《かたく》《...の》授業,教授《in ...》",The tuition for this university is quite expensive.
tulip,『チューリップ』 / その花;その球根,I planted tulips in my garden.
tumor/tumour,"〈C〉はれもの,できもの,腫瘍",He was diagnosed with a brain tumor.
tunnel,"トンネル,地下道,坑道  / 〈山など〉‘に'トンネルを掘る  / 〈トンネルなど〉‘を'掘る  / トンネルを掘る",The train passed through a long tunnel.
turbulent,"荒れ狂う,混乱した / 不穏な,騒がしい,動乱の",The turbulent waves crashed against the rocky shore.
tutor,"(個人あるいは少人数を教える,時に住み込みの)家庭教師・《米》(大学でinstructorの下位の)講師  / ・《英》(大学生の)個別指導教官(教授)",I hired a tutor to help me with my math homework.
twinkle,"(…の)『きらめき』,ちらつき《+of+名》 / (…の)輝き《+of+名》",He had a twinkle in his eye.
twisted,捻じれた / 曲がった / ねじれた,His face was twisted with pain.
typhoid,腸チフス,He contracted typhoid while traveling in a foreign country.
tyranny,"〈U〉『圧制』 / 〈C〉《しばしば複数形で》暴虐行為 / 〈U〉専制政治,専制 / 〈C〉(古代ギリシヤの)僣主政治",The people revolted against the tyranny of the dictator.
tyrant,"『暴君』,圧制者 / 専制君主 / 僣王(古代ギリシアにおいて世襲以外の方法で王位を獲得した者)","The tyrant ruled with an iron fist, oppressing the people."
ultimate,"最後の, 究極の / 最大限の / 根本的な /  最も遠い / （the ~）究極のもの",He reached the ultimate level of success.
ultimately,"最後に,ついに,結局 / 根源的に,根本的に / 《文修飾》最終的には,究極的には",He ultimately decided to pursue a career in medicine.
unacceptable,許されない / 受け入れられない / 容認できない,It is unacceptable to use foul language in this classroom.
unashamedly,"気後れすることなく,臆することなく,恥じらいもなく",I will unashamedly admit that I still read picture books.
unattractive,魅力がない,The subtopia is a visually unattractive suburban housing area.
unauthorized/unauthorised,"認可されていない,権限のない, 不正な",The unauthorized access to the system was detected and blocked.
unavailable,入手できない / 利用できない / 手があいていない,The product is currently unavailable.
unaware,"気づかない,知らない",She was unaware of the danger lurking nearby.
unbearable,"耐えられない,がまんできない",The heat in the room was unbearable.
unbeatable,打倒(征服)できない,He is unbeatable in chess.
unchanged,"変化のない,もとのままの",The weather remained unchanged throughout the day.
uncharacteristic,"特徴的(典型的)ではない,特質のない",That's uncharacteristic of him.
unclearly,不明瞭に,"He explained the instructions unclearly, causing confusion among the team."
uncomfortably,"心地よくなく,不愉快に",The chair was uncomfortably hard.
uncommon,"『普通でない』,めったにない,並はずれた",She has an uncommon talent for playing the piano.
unconcerned,"《補語にのみ用いて》《be unconcerned with+名》(…と)かかわりがない / 《補語にのみ用いて》(…に)興味がない,無関心な《+with+名》 / (…を)心配しない,気にしない《+about+名》",She is unconcerned with the opinions of others.
unconscious,"(一時的に)『意識を失った』,人事不省の / 《補語にのみ用いて》(…を)『気付いていない』,知らない《+of+名(doing)》 / (動作などが)無意識の,何気なしの / (精神分析で)無意識",He fell unconscious after the accident.
underestimate,〈他〉過小評価する,Never underestimate the power of determination.
undergraduate,"大学生, 学部生, 学部在学生  / 学部学生の",She is an undergraduate student at the university.
underground,"地下の  / 《比喩的に》地下の,秘密の,隠れた  / (運動・映画・出版物などについて)前衛的(実験的)な,アングラの",The subway is an underground transportation system.
underground,"地下に(で)  / 秘密のうちに,隠れて",The hypocenter of the earthquake was located deep underground.
underneath,"下に, 下の方に",The hiker's excoriation of the tree bark revealed the beautiful patterns underneath.
undersea,海中の / =[[underseas]],The divers explored the undersea cave.
understandable,"分かりやすい,理解できる",The instructions were clear and understandable.
understanding,"〈U〉(…の)『理解』,意味をつかむこと《+of+名》 / 〈U〉《しばしば an~》(…に)『精通』,熟達《+of+名》 / 〈U〉『意見』,結論 / 〈U〉《時に an~》(相手の立場の)共感;〈C〉《単数形で》同意,一致 / 〈U〉『理解力』,知力,知性(intelligence)",She has a deep understanding of the subject.
understanding,"相手の立場を理解している,思いやりのある,話せる",My employer is very supportive and understanding.
undertake,"に着手する / 請け負う, を引き受ける, 始める / ...であることを保証する《that...》",I will undertake the project next week.
underwater,"水面下に(を),水中で(を)",The submarine uses sonar to navigate underwater.
underwear,"下着,肌着",I need to buy new underwear.
undoubtedly,"疑いなく,確かに","Undoubtedly, she is the best candidate for the job."
undreamed,夢に見られない,The success she achieved was undreamed-of.
undressed,"着物を脱いだ,裸[同然]の",She undressed and put on her pajamas.
unease,"不安,懸念",I felt a sense of unease as I walked through the dark alley.
uneasily,"不安のうちに,心配して;窮屈そうに","She paced back and forth uneasily, unable to shake off the feeling of unease."
unenthusiastic,熱意がない,"Despite the exciting news, John remained unenthusiastic."
uneven,"まっすぐでない,平行でない / (表面などが)平らでない,なめらかでない,でこぼこのある / (性質・色・形などが)一様でない,むらのある / 釣り合わない,かたよった,不公平な / 奇数の(odd)","The ground was uneven, with numerous rocks and bumps."
unfamiliar,"よく知らない,未知の見慣ない,聞き慣ない  / 《補語にのみ用いて》(物事を)よく知らない,未知の《+with+名》",I am unfamiliar with this place.
unfashionable,"流行り遅れの,ださい",She always wears unfashionable clothes.
unforeseen,"予知しない,思いがけない([[unexpected]])",The storm caused unforeseen damage to the city.
ungodly,"神を恐れない,不信心の / 《話》ひどい,無茶な / （時刻が）とんでもない / 罪深い",He has an ungodly amount of wealth.
unhappiness,"不幸,不運",She couldn't hide her unhappiness when she received the bad news.
unhelpful,助けにならない,"Her so-called advice was just a load of rubbish advice, completely unhelpful."
unimaginable,"想像できない,思いもつかない",The beauty of the sunset was unimaginable.
unimaginably,想像を絶するほど,"Beneath the surface of the ocean lay an unimaginably diverse ecosystem, teeming with life beyond our wildest dreams."
united,"一致協力した,協調の / 共同した,提携した,団結した / 連合した,合併した",The United Nations promotes united efforts to address global challenges.
universal,"すべての人々の,万人共通の;全世界の  / 普遍的な,一般的な,全般的な",Education is a universal right.
unjustly,不正に / 不公平に,He was unjustly accused of the crime.
unkind,"『不親切な』,薄情な / (天候が)荒々しい,きびしい(harsh)",She was unkind to her classmates.
unlike,"…と違って, ...とは異なって","Unlike most people, she enjoys spending time alone."
unlimited,"(空間的に)限りない,果てしない(boundless)  / 無制限の,無条件の  / 過度の,非常な(excessive)",The possibilities are unlimited.
unload,(…から)〈荷・乗客〉‘を'降ろす《+名+from+名》  / 〈船.車など〉‘の'積み荷を降ろす  / 〈銃.大砲など〉‘から'弾丸を抜く  / (また《英》off-load)〈悩みなど〉‘を'口にする;(人)〈悩みなど〉‘を'打ち明ける《+名+to(on)+名〈人〉》  / 《話》〈不用品など〉'を'処分する  / 〈船などが〉積み荷を降ろす,The workers unload the cargo from the truck.
unlock,"〈戸.箱など〉‘の'錠を開ける / 〈つかんでいた手など〉'を'離す / 〈秘密など〉'を'もらす,打ち明ける / 錠が開く / 拘束が解かれる(緩む)",I need to unlock the door before we can go inside.
unmistakable,"まぎれもない,明らかな",Her talent is unmistakable.
unmistakably,"まぎれもなく,明らかに",Her talent was unmistakably evident in her performance.
unnatural,"不自然な;異常な / 人情に反する,極悪非道の / 人工的な,わざとらしい(artificial)",Her smile looked unnatural.
unofficial,"非公式の,公式でない;私的な",This is an unofficial website.
unpopular,不人気の,The unpopular movie received negative reviews from critics.
unrealistic,"(作風などが)非現実主義の,非写実的な / (計画などが)現実的(実際的)でない",The plot of the movie was so unrealistic that it was hard to believe.
unreasonable,"(人・行為などが)『理性を欠く』,無分別な / 法外な,けたはずれの",His demands were unreasonable.
unreliable,信頼できない,He is an unreliable person.
unrest,"〈U〉(政治的・経済的な)不安,不穏 /(心の)落着きのなさ,不安,心配",The country is experiencing political unrest.
unsafe,危険な(dangerous),It is unsafe to walk alone at night in this neighborhood.
unsatisfactory,"(物事が)不満足な,不十分な",The service at the restaurant was unsatisfactory.
unselfish,"利己的でない,私心のない,寛大な","She always puts others' needs before her own, showing how unselfish she is."
unstoppable,止められない,He virtually lives at the office; he’s there from morning until late at night.
unsuccessful,"不成功の,失敗の;(…に)失敗する《+in+塁(do・ing)》",He made several unsuccessful attempts to start his own business.
unsuitable,"不適当な,ふさわしくない;(…に)不適な《+for(to)+名》",His behavior was unsuitable for the occasion.
unsure,"不安定な,不確実な",I feel unsure about my decision.
untalented,才能のない,He is an untalented musician.
unthinkably,想像できないほど/ 想像できない範囲に,"The scientist conducted the experiment, knowing full well the unthinkably high stakes involved."
untie,"〈結び目・包みなど〉‘を'解く,ほどく / (…から)…‘の'ひもを解いて放す;(…から)…‘を'放す,自由にする《+名+from+名》",She carefully untied the knot.
unto,"…に,の方へ,まで(to)",He gave unto them the gift of knowledge.
untreated,手当てをし(てい)ない、治療していない、処理され(てい)ない、未処理の,The untreated wood is susceptible to damage from insects and weather.
untrimmed,(植木などが)刈り込まれていない / (髪・芝生などが)手入れされていない,"The cottage garden overflowed with vibrant blooms, untrimmed and unruly but bursting with life."
unusualness,珍しさ,The unusualness of the situation made everyone feel uncomfortable.
unwilling,気が進まない、不本意の,She was unwilling to go to the party.
unwise,"分別のない,思慮が足りない,ばかな",It would be unwise to make such a hasty decision.
unworldly,"超俗の,物欲を超絶した / 世間知らずの,世慣れていない,うぶな / この世のものではない,精神世界の,天上界の",The wilderness was a beautiful and somewhat unworldly place.
upbringing,"(子供の時に受けた)教育,しつけ",My upbringing greatly influenced my values and beliefs.
update,最新情報,The news agency reported the latest updates on the situation.
upgrade,"上りこうばい,上り坂 / アップグレード(版) / 性能(機能向上)",We will replace the current version with the upgrade.
upgrade,〈人〉‘を'昇格させる  / …‘の'品質を改良する,I need to upgrade my computer to improve its performance.
upright,"『真っ直ぐに立った』,直立した / 『心の真っ直ぐな』,正直な",He stood in an upright position.
upright,"(上方に)まっすぐに,直立して",Stand upright when I'm talking to you.
upset,"〈他〉をひっくり返す / 〈計画など〉を駄目にする, を台無しにする / 〈人〉の心を乱す, を狼狽させる /",Everything he says upsets me.
upside down,"さかさまの,転倒して / 混乱した,乱雑な",His book was upside down.
upside down,"『さかさに』,転倒して, / 混乱して,ごたごたと= upside down",The acrobat performed an amazing upside-down stunt.
urban,都会の / 都会に住む,She loves the urban lifestyle.
urge,〈他〉を駆り立てる / を強く促す / を力説する,I urge you to reconsider your decision.
urgently,緊急に / 至急に,I need your help urgently.
user,"使用者,消費者  / 財産権[の使用]",The user logged into the system.
usher,"/ (…へ)…を案内する《+名+to(into, in)+名》",I was ushered to my seat.
utility,〈U〉役に立つこと / 〈C〉《しばしば複数形で》(ガス・電気・水道などの) 公共事業体,The utility company provides electricity and water to the residents.
utilize/utilise,"...を利用する, ...を役立たせる",I utilize technology to streamline my work process.
utter,"〈音声・言葉など〉‘を'『発する』,口に出す / 〈考え・意見など〉‘を'述べる,表現する",She uttered a scream of terror.
utterly,"『全く』,すっかり,完全に([[completely]])",I am utterly exhausted after running a marathon.
vacant,"(部屋・家・座席・土地などが)あいている,無人の  / (地位・役職などが)空席の,欠員のある  / 放心した,ぼんやりした;間の抜けた,ばかな  / (時間などが)あいている,暇な",There is a vacant seat in the theater.
vaccine,"牛痘種,痘苗(牛痘を起こすビールスで,天然痘予防のために人体に接種される)  / (伝染病の病原菌から作った)ワクチン",The vaccine is a preventive measure against infectious diseases.
valentine,バレンタインカード(聖バレンタイデーに異性に送るカード) / 《しばしば Valentine》聖バレンタインデーに選ばれた恋人,I received a beautiful Valentine card from my secret admirer.
valid,"(理論・理由などが) 妥当な /  (契約・法律などが) 合法的な, 正当な / (ある条件のもとで)有効な",The argument presented in the paper is valid.
value,"〈他〉《ある金額に》 ...を評価する, を見積もる《at ...》 / を高く評価する、大切にする",We value punctuality.
vanish,"(特に急に…から)『見えなくなる』,消える《+from+名》(disappear) / (…から)『存在しなくなる』,ゼロになる《+from+名》",The magician made the rabbit vanish into thin air.
vanity,"〈U〉(容姿・才能などにおける)『虚栄心』,うぬぼれ / 〈U〉(…の)『空虚さ』,はかなさ,無益さ《+of+名(doing)》 / 〈C〉むなしい物(行為) / 〈C〉(女性の)携帯用化粧バッグ",Her vanity knows no bounds.
variation,"〈U〉変化すること, 変動すること / 〈C〉}(個々の)変化, 変化の量(程度) /  変形,変わり種;(生物の)変種 / 《…の》変奏曲《on ...》","The variation in the color patterns of birds helps them [[blend into]] their environment, making it difficult for predators to spot them."
varied,"『さまざまな』,いろいろな / 変化のある,変転する",There are varied options to choose from.
venture,"〈U〉〈C〉危険な企て,冒険 / 〈C〉冒険に賭けた物",He started his own venture and became a successful entrepreneur.
venue,"〈C〉開催地, 会場 / 犯行地, 現場 / 裁判地 / 《米》 立場, 意見",The venue for the concert is a large stadium.
verbal,"言葉の,口頭の",She has excellent verbal skills.
verbally,口頭で / 動詞として,She verbally expressed her dissatisfaction with the decision.
verse,"〈U〉韻文, 詩 / 〈C〉詩の一行 / 詩節,連 / 〈U〉特定の詩形 / 〈C〉(聖書の)節",He recited a beautiful verse.
verse,〈自〉詩で表現する / 〈他〉 …を詩で表現する([[versify]]),He likes to verse his thoughts in poetry.
version,"(…の)翻訳,訳文(translation)《+of+名》;《しばしば Version》(聖書の)翻訳,欽定訳  / (…についての)[個人的な]説明,所見,解釈《+of+名》  / (ある物の)変形,脚色,…版《+of+名》",This is the latest version of the software.
versus,"(訴訟・競技などで)…対(《略》v.,vs.)(against)  / (比較や二者択一において)…に対して",The match ended with a score of 3 versus 2.
very,"/ 《the(this,that,one's)~》まさにその,ちょうどその  / 《the(one's)~》ただ…だけで(mere);(…)でさえ,までも(even)",The very opposite is the truth.
veteran,"〈C〉老練者,古つわもの,ベテラン / 古参兵,老兵 / 退役軍人,在郷軍人兵 / 使い古したもの,中古品",He is a veteran in the field of medicine.
vibrate,"『振動する』,揺れる;振動音を出す,〈音が〉反響する / 〈人・心などが〉(…で)『おののく』,どきどきする《+with+名》 / …‘を'揺り動かす,振動させる",The phone vibrates when I receive a message.
